,Name,Value (€)
0,Ederson,20000000.0
1,Stefan Ortega,8000000.0
2,Marcus Bettinelli,600000.0
3,Scott Carson,100000.0
4,Josko Gvardiol,75000000.0
5,Rúben Dias,65000000.0
6,Abdukodir Khusanov,35000000.0
7,Vitor Reis,30000000.0
8,Manuel Akanji,28000000.0
9,John Stones,25000000.0
10,Nathan Aké,25000000.0
11,Jahmai Simpson-Pusey,5000000.0
12,Max Alleyne,500000.0
13,Rayan Aït-Nouri,35000000.0
14,Nico O'Reilly,18000000.0
15,Josh Wilson-Esbrand,4000000.0
16,Rico Lewis,40000000.0
17,Matheus Nunes,35000000.0
18,Kyle Walker,4000000.0
19,Issa Kaboré,4000000.0
20,Rodri,110000000.0
21,Nico González,24000000.0
22,Kalvin Phillips,12000000.0
23,Jacob Wright,800000.0
24,Tijjani Reijnders,60000000.0
25,Mateo Kovacic,20000000.0
26,İlkay Gündoğan,5000000.0
27,Phil Foden,100000000.0
28,Rayan Cherki,45000000.0
29,Bernardo Silva,38000000.0
30,Kevin De Bruyne,20000000.0
31,James McAtee,20000000.0
32,Claudio Echeverri,18000000.0
33,Jérémy Doku,50000000.0
34,Savinho,50000000.0
35,Jack Grealish,28000000.0
36,Oscar Bobb,25000000.0
37,Erling Haaland,180000000.0
38,Omar Marmoush,75000000.0
39,Divin Mubama,4000000.0
40,David Raya,40000000.0
41,Aaron Ramsdale,16000000.0
42,Neto,1500000.0
43,Jack Porter,400000.0
44,Alexéi Rojas,250000.0
45,William Saliba,80000000.0
46,Gabriel Magalhães,75000000.0
47,Jakub Kiwior,28000000.0
48,Ayden Heaven,5000000.0
49,Zane Monlouis,400000.0
50,Maldini Kacurri,300000.0
51,Myles Lewis-Skelly,45000000.0
52,Riccardo Calafiori,35000000.0
53,Oleksandr Zinchenko,20000000.0
54,Kieran Tierney,9000000.0
55,Jurriën Timber,55000000.0
56,Ben White,45000000.0
57,Takehiro Tomiyasu,18000000.0
58,Thomas Partey,14000000.0
59,Jorginho,6000000.0
60,Jack Henry-Francis,200000.0
61,Declan Rice,120000000.0
62,Mikel Merino,35000000.0
63,Salah Oulad,400000.0
64,Martin Ødegaard,85000000.0
65,Ethan Nwaneri,55000000.0
66,Gabriel Martinelli,55000000.0
67,Leandro Trossard,22000000.0
68,Reiss Nelson,16000000.0
69,Bukayo Saka,150000000.0
70,Raheem Sterling,10000000.0
71,Kai Havertz,65000000.0
72,Gabriel Jesus,32000000.0
73,Eddie Nketiah,18000000.0
74,Nathan Butler-Oyedeji,1000000.0
75,Robert Sánchez,20000000.0
76,Filip Jørgensen,18000000.0
77,Mike Penders,12000000.0
78,Gabriel Slonina,3500000.0
79,Lucas Bergström,700000.0
80,Levi Colwill,55000000.0
81,Renato Veiga,25000000.0
82,Trevoh Chalobah,25000000.0
83,Wesley Fofana,25000000.0
