,Name,Value (€)
0,Gianluigi Donnarumma,45000000.0
1,James Trafford,25000000.0
2,Marcus Bettinelli,500000.0
3,Josko Gvardiol,70000000.0
4,Rúben Dias,60000000.0
5,Marc Guéhi,55000000.0
6,Abdukodir Khusanov,35000000.0
7,John Stones,18000000.0
8,Nathan Aké,18000000.0
9,Max Alleyne,800000.0
10,Rayan Aït-Nouri,40000000.0
11,Nico O'Reilly,40000000.0
12,Matheus Nunes,38000000.0
13,Rico Lewis,35000000.0
14,Rodri,75000000.0
15,Nico González,24000000.0
16,Tijjani Reijnders,65000000.0
17,Mateo Kovacic,15000000.0
18,Sverre Nypan,15000000.0
19,Phil Foden,80000000.0
20,Rayan Cherki,50000000.0
21,Bernardo Silva,27000000.0
22,Jérémy Doku,65000000.0
23,Savinho,45000000.0
24,Antoine Semenyo,65000000.0
25,Erling Haaland,200000000.0
26,Omar Marmoush,65000000.0
27,David Raya,35000000.0
28,Kepa Arrizabalaga,7000000.0
29,William Saliba,90000000.0
30,Gabriel Magalhães,75000000.0
31,Piero Hincapié,50000000.0
32,Cristhian Mosquera,35000000.0
33,Riccardo Calafiori,50000000.0
34,Myles Lewis-Skelly,40000000.0
35,Jurriën Timber,70000000.0
36,Ben White,30000000.0
37,Martín Zubimendi,75000000.0
38,Christian Nørgaard,9000000.0
39,Declan Rice,120000000.0
40,Mikel Merino,30000000.0
41,Martin Ødegaard,75000000.0
42,Eberechi Eze,65000000.0
43,Gabriel Martinelli,45000000.0
44,Leandro Trossard,20000000.0
45,Bukayo Saka,130000000.0
46,Noni Madueke,50000000.0
47,Max Dowman,20000000.0
48,Viktor Gyökeres,70000000.0
49,Kai Havertz,55000000.0
50,Gabriel Jesus,20000000.0
51,Robert Sánchez,22000000.0
52,Filip Jørgensen,15000000.0
53,Gabriel Slonina,3500000.0
54,Teddy Sharman-Lowe,550000.0
55,Levi Colwill,50000000.0
56,Trevoh Chalobah,35000000.0
57,Wesley Fofana,28000000.0
58,Mamadou Sarr,25000000.0
59,Tosin Adarabioyo,20000000.0
60,Benoît Badiashile,18000000.0
61,Marc Cucurella,50000000.0
62,Jorrel Hato,35000000.0
63,Caleb Wiley,8000000.0
64,Reece James,50000000.0
65,Malo Gusto,35000000.0
66,Josh Acheampong,20000000.0
67,Moisés Caicedo,110000000.0
68,Roméo Lavia,30000000.0
69,Dário Essugo,20000000.0
70,Enzo Fernández,85000000.0
71,Andrey Santos,40000000.0
72,Cole Palmer,120000000.0
73,Alejandro Garnacho,45000000.0
74,Jamie Gittens,40000000.0
75,Estêvão,80000000.0
76,Pedro Neto,60000000.0
77,João Pedro,65000000.0
78,Liam Delap,35000000.0
79,Marc Guiu,12000000.0
80,Giorgi Mamardashvili,28000000.0
81,Alisson,17000000.0
82,Freddie Woodman,3000000.0
83,Harvey Davies,500000.0
84,Ibrahima Konaté,50000000.0
85,Giovanni Leoni,25000000.0
86,Virgil van Dijk,18000000.0
87,Joe Gomez,15000000.0
88,Rhys Williams,500000.0
89,Milos Kerkez,40000000.0
90,Andrew Robertson,12000000.0
91,Jeremie Frimpong,38000000.0
92,Conor Bradley,30000000.0
93,Calvin Ramsay,1500000.0
94,Ryan Gravenberch,90000000.0
95,Stefan Bajcetic,7000000.0
96,Wataru Endo,5000000.0
97,Alexis Mac Allister,85000000.0
98,Curtis Jones,40000000.0
99,Trey Nyoni,6000000.0
100,Florian Wirtz,110000000.0
101,Dominik Szoboszlai,85000000.0
102,Cody Gakpo,70000000.0
103,Rio Ngumoha,15000000.0
104,Mohamed Salah,30000000.0
105,Federico Chiesa,18000000.0
106,Alexander Isak,120000000.0
107,Hugo Ekitiké,85000000.0
108,Guglielmo Vicario,30000000.0
109,Antonín Kinský,13000000.0
110,Brandon Austin,500000.0
111,Micky van de Ven,65000000.0
112,Cristian Romero,60000000.0
113,Radu Drăgușin,22000000.0
114,Kevin Danso,22000000.0
115,Ben Davies,5000000.0
116,Destiny Udogie,40000000.0
117,Djed Spence,32000000.0
118,Souza,5000000.0
119,Pedro Porro,40000000.0
120,Rodrigo Bentancur,27000000.0
121,João Palhinha,25000000.0
122,Yves Bissouma,15000000.0
123,Lucas Bergvall,40000000.0
124,Archie Gray,35000000.0
125,Conor Gallagher,35000000.0
126,Pape Matar Sarr,35000000.0
127,Xavi Simons,60000000.0
128,Dejan Kulusevski,45000000.0
129,James Maddison,30000000.0
130,Wilson Odobert,22000000.0
131,Mohammed Kudus,55000000.0
132,Dominic Solanke,35000000.0
133,Mathys Tel,30000000.0
134,Richarlison,28000000.0
135,Randal Kolo Muani,25000000.0
136,Senne Lammens,25000000.0
137,Altay Bayındır,7000000.0
138,Tom Heaton,150000.0
139,Leny Yoro,55000000.0
140,Matthijs de Ligt,40000000.0
141,Lisandro Martínez,35000000.0
142,Harry Maguire,10000000.0
143,Ayden Heaven,10000000.0
144,Tyler Fredricson,3000000.0
145,Patrick Dorgu,30000000.0
146,Luke Shaw,10000000.0
147,Tyrell Malacia,5000000.0
148,Diego León,4000000.0
149,Diogo Dalot,28000000.0
150,Noussair Mazraoui,22000000.0
151,Manuel Ugarte,30000000.0
152,Casemiro,8000000.0
153,Kobbie Mainoo,40000000.0
154,Bruno Fernandes,40000000.0
155,Mason Mount,32000000.0
156,Bryan Mbeumo,75000000.0
157,Amad Diallo,50000000.0
158,Matheus Cunha,70000000.0
159,Benjamin Sesko,60000000.0
160,Joshua Zirkzee,25000000.0
161,Chido Obi,5000000.0
162,Aaron Ramsdale,12000000.0
163,Nick Pope,7000000.0
164,Mark Gillespie,150000.0
165,John Ruddy,100000.0
166,Malick Thiaw,40000000.0
167,Sven Botman,35000000.0
168,Fabian Schär,6000000.0
169,Dan Burn,5000000.0
170,Lewis Hall,32000000.0
171,Alex Murphy,300000.0
172,Tino Livramento,40000000.0
173,Kieran Trippier,2500000.0
174,Emil Krafth,1500000.0
175,Sandro Tonali,75000000.0
176,Bruno Guimarães,75000000.0
177,Jacob Ramsey,35000000.0
178,Joelinton,30000000.0
179,Lewis Miley,20000000.0
180,Joe Willock,16000000.0
181,Anthony Gordon,60000000.0
182,Harvey Barnes,32000000.0
183,Anthony Elanga,50000000.0
184,Jacob Murphy,15000000.0
185,Nick Woltemade,70000000.0
186,Yoane Wissa,35000000.0
187,William Osula,15000000.0
188,John Victor,7000000.0
189,Matz Sels,6000000.0
190,Stefan Ortega,5000000.0
191,Angus Gunn,1500000.0
192,Murillo,55000000.0
193,Nikola Milenković,30000000.0
194,Morato,14000000.0
195,Jair Cunha,12000000.0
196,Willy Boly,800000.0
197,Zach Abbott,300000.0
198,Neco Williams,25000000.0
199,Luca Netz,6000000.0
200,Ola Aina,20000000.0
201,Nicolò Savona,15000000.0
202,Eric da Silva Moreira,1000000.0
203,Ibrahim Sangaré,22000000.0
204,Elliot Anderson,60000000.0
205,Nicolás Domínguez,16000000.0
206,Ryan Yates,10000000.0
207,Morgan Gibbs-White,65000000.0
208,Omari Hutchinson,30000000.0
209,James McAtee,23000000.0
210,Callum Hudson-Odoi,30000000.0
211,Dan Ndoye,40000000.0
212,Dilane Bakwa,32000000.0
213,Lorenzo Lucca,25000000.0
214,Igor Jesus,20000000.0
215,Taiwo Awoniyi,12000000.0
216,Chris Wood,8000000.0
217,Dean Henderson,28000000.0
218,Walter Benítez,5000000.0
219,Remi Matthews,300000.0
220,Maxence Lacroix,35000000.0
221,Chris Richards,25000000.0
222,Jaydee Canvot,20000000.0
223,Chadi Riad,12000000.0
224,Tyrick Mitchell,25000000.0
225,Borna Sosa,4000000.0
226,Rio Cardines,300000.0
227,Daniel Muñoz,27000000.0
228,Caleb Kporha,1000000.0
229,Nathaniel Clyne,500000.0
230,Adam Wharton,60000000.0
231,Cheick Doucouré,15000000.0
232,Jefferson Lerma,8000000.0
233,Kaden Rodney,200000.0
234,Will Hughes,6000000.0
235,Daichi Kamada,12000000.0
236,Justin Devenny,8000000.0
237,Ismaïla Sarr,35000000.0
238,Yéremy Pino,35000000.0
239,Brennan Johnson,35000000.0
240,Evann Guessand,28000000.0
241,Jean-Philippe Mateta,40000000.0
242,Jørgen Strand Larsen,40000000.0
243,Eddie Nketiah,16000000.0
244,Christantus Uche,15000000.0
245,Emiliano Martínez,15000000.0
246,Marco Bizot,2500000.0
247,Ezri Konsa,35000000.0
248,Pau Torres,25000000.0
249,Victor Lindelöf,6000000.0
250,Tyrone Mings,4000000.0
251,Ian Maatsen,25000000.0
252,Lucas Digne,8000000.0
253,Matty Cash,22000000.0
254,Andrés García,7000000.0
255,Amadou Onana,42000000.0
256,Boubacar Kamara,40000000.0
257,Lamare Bogarde,12000000.0
258,Youri Tielemans,35000000.0
259,Douglas Luiz,25000000.0
260,John McGinn,15000000.0
261,Ross Barkley,5000000.0
262,Morgan Rogers,70000000.0
263,Harvey Elliott,30000000.0
264,Emiliano Buendía,18000000.0
265,Jadon Sancho,20000000.0
266,Leon Bailey,18000000.0
267,Alysson,8000000.0
268,Ollie Watkins,30000000.0
269,Tammy Abraham,14000000.0
270,Bart Verbruggen,35000000.0
271,Jason Steele,750000.0
272,Tom McGill,500000.0
273,Jan Paul van Hecke,35000000.0
274,Olivier Boscagli,18000000.0
275,Igor Julio,15000000.0
276,Adam Webster,7000000.0
277,Lewis Dunk,4000000.0
278,Ferdi Kadıoğlu,28000000.0
279,Maxim De Cuyper,22000000.0
280,Joël Veltman,2500000.0
281,Carlos Baleba,60000000.0
282,Mats Wieffer,25000000.0
283,Jack Hinshelwood,22000000.0
284,Yasin Ayari,30000000.0
285,Diego Gómez,25000000.0
286,Matt O'Riley,20000000.0
287,Pascal Groß,3500000.0
288,James Milner,750000.0
289,Kaoru Mitoma,30000000.0
290,Yankuba Minteh,40000000.0
291,Solly March,3000000.0
292,Georginio Rutter,32000000.0
293,Charalampos Kostoulas,25000000.0
294,Stefanos Tzimas,22000000.0
295,Danny Welbeck,4000000.0
296,Djordje Petrovic,28000000.0
297,Christos Mandas,5000000.0
298,Fraser Forster,600000.0
299,Bafodé Diakité,35000000.0
300,Marcos Senesi,22000000.0
301,Veljko Milosavljevic,20000000.0
302,James Hill,7000000.0
303,Matai Akinmboni,1000000.0
304,Adrien Truffert,20000000.0
305,Julio Soler,8000000.0
306,Álex Jiménez,18000000.0
307,Adam Smith,500000.0
308,Tyler Adams,25000000.0
309,Alex Scott,30000000.0
310,Lewis Cook,13000000.0
311,Ryan Christie,9000000.0
312,Alex Tóth,8000000.0
313,Justin Kluivert,32000000.0
314,Marcus Tavernier,20000000.0
315,Amine Adli,20000000.0
316,Ben Gannon-Doak,18000000.0
317,David Brooks,12000000.0
318,Evanilson,40000000.0
319,Rayan,25000000.0
320,Junior Kroupi,22000000.0
321,Enes Ünal,8000000.0
322,Caoimhín Kelleher,22000000.0
323,Hákon Valdimarsson,2500000.0
324,Ellery Balcombe,400000.0
325,Nathan Collins,35000000.0
326,Sepp van den Berg,28000000.0
327,Kristoffer Ajer,16000000.0
328,Ethan Pinnock,4000000.0
329,Rico Henry,15000000.0
330,Michael Kayode,27000000.0
331,Aaron Hickey,16000000.0
332,Vitaly Janelt,18000000.0
333,Jordan Henderson,2000000.0
334,Yegor Yarmolyuk,25000000.0
335,Mathias Jensen,12000000.0
336,Josh Dasilva,2500000.0
337,Keane Lewis-Potter,22000000.0
338,Mikkel Damsgaard,30000000.0
339,Antoni Milambo,20000000.0
340,Fábio Carvalho,12000000.0
341,Kevin Schade,35000000.0
342,Reiss Nelson,14000000.0
343,Dango Ouattara,35000000.0
344,Romelle Donovan,3500000.0
345,Igor Thiago,35000000.0
346,Kaye Furo,2500000.0
347,Jordan Pickford,15000000.0
348,Mark Travers,4000000.0
349,Tom King,150000.0
350,Jarrad Branthwaite,45000000.0
351,James Tarkowski,7000000.0
352,Michael Keane,4000000.0
353,Vitaliy Mykolenko,25000000.0
354,Adam Aznou,7000000.0
355,Jake O'Brien,16000000.0
356,Nathan Patterson,10000000.0
357,Séamus Coleman,300000.0
358,James Garner,25000000.0
359,Idrissa Gueye,4000000.0
360,Kiernan Dewsbury-Hall,28000000.0
361,Carlos Alcaraz,15000000.0
362,Tim Iroegbunam,12000000.0
363,Harrison Armstrong,1200000.0
364,Merlin Röhl,16000000.0
365,Jack Grealish,25000000.0
366,Tyrique George,22000000.0
367,Dwight McNeil,20000000.0
368,Iliman Ndiaye,45000000.0
369,Tyler Dibling,30000000.0
370,Thierno Barry,30000000.0
371,Beto,20000000.0
372,Bernd Leno,8000000.0
373,Benjamin Lecomte,1200000.0
374,Calvin Bassey,28000000.0
375,Joachim Andersen,25000000.0
376,Issa Diop,10000000.0
377,Jorge Cuenca,4000000.0
378,Antonee Robinson,30000000.0
379,Ryan Sessegnon,20000000.0
380,Kenny Tete,11000000.0
381,Timothy Castagne,10000000.0
382,Sander Berge,25000000.0
383,Saša Lukić,12000000.0
384,Harrison Reed,3000000.0
385,Tom Cairney,750000.0
386,Emile Smith Rowe,22000000.0
387,Josh King,20000000.0
388,Kevin,30000000.0
389,Alex Iwobi,25000000.0
390,Oscar Bobb,25000000.0
391,Harry Wilson,20000000.0
392,Samuel Chukwueze,10000000.0
393,Rodrigo Muniz,25000000.0
394,Raúl Jiménez,4000000.0
395,Jonah Kusi-Asare,4000000.0
396,Mads Hermansen,15000000.0
397,Alphonse Areola,7000000.0
398,Lukasz Fabianski,250000.0
399,Jean-Clair Todibo,23000000.0
400,Maximilian Kilman,22000000.0
401,Axel Disasi,15000000.0
402,Konstantinos Mavropanos,15000000.0
403,Ezra Mayers,500000.0
404,El Hadji Malick Diouf,28000000.0
405,Oliver Scarles,8000000.0
406,Aaron Wan-Bissaka,22000000.0
407,Kyle Walker-Peters,13000000.0
408,Soungoutou Magassa,17000000.0
409,Tomáš Souček,12000000.0
410,Freddie Potts,8000000.0
411,Mateus Fernandes,32000000.0
412,Crysencio Summerville,22000000.0
413,Keiber Lamadrid,1200000.0
414,Jarrod Bowen,35000000.0
415,Adama Traoré,8000000.0
416,Taty Castellanos,25000000.0
417,Callum Wilson,5000000.0
418,Pablo,5000000.0
419,Robin Roefs,18000000.0
420,Melker Ellborg,500000.0
421,Simon Moore,100000.0
422,Dan Ballard,16000000.0
423,Omar Alderete,12000000.0
424,Luke O'Nien,1300000.0
425,Dennis Cirkin,8000000.0
426,Reinildo Mandava,5000000.0
427,Lutsharel Geertruida,20000000.0
428,Trai Hume,18000000.0
429,Nordi Mukiele,15000000.0
430,Granit Xhaka,10000000.0
431,Habib Diarra,32000000.0
432,Noah Sadiki,25000000.0
433,Enzo Le Fée,20000000.0
434,Abdoullah Ba,2000000.0
435,Chris Rigg,25000000.0
436,Milan Aleksic,700000.0
437,Harrison Jones,150000.0
438,Nilson Angulo,7000000.0
439,Romaine Mundle,6000000.0
440,Chemsdine Talbi,22000000.0
441,Bertrand Traoré,5000000.0
442,Ian Poveda,900000.0
443,Jocelin Ta Bi,375000.0
444,Brian Brobbey,20000000.0
445,Eliezer Mayenda,18000000.0
446,Wilson Isidor,18000000.0
