,Name,Value (€)
0,Ederson,35000000.0
1,Stefan Ortega,9000000.0
2,Zack Steffen,2000000.0
3,True Grant,500000.0
4,Scott Carson,200000.0
5,Rúben Dias,80000000.0
6,Josko Gvardiol,75000000.0
7,Manuel Akanji,45000000.0
8,Nathan Aké,40000000.0
9,John Stones,38000000.0
10,Taylor Harwood-Bellis,22000000.0
11,Aymeric Laporte,20000000.0
12,Max Alleyne,500000.0
13,Sergio Gómez,10000000.0
14,Josh Wilson-Esbrand,4000000.0
15,Matheus Nunes,50000000.0
16,Rico Lewis,38000000.0
17,Kyle Walker,13000000.0
18,Issa Kaboré,10000000.0
19,Rodri,120000000.0
20,Kalvin Phillips,25000000.0
21,Máximo Perrone,9000000.0
22,Mahamadou Susoho,1500000.0
23,Jacob Wright,800000.0
24,Mateo Kovacic,30000000.0
25,Phil Foden,150000000.0
26,Cole Palmer,80000000.0
27,Bernardo Silva,70000000.0
28,Kevin De Bruyne,50000000.0
29,James McAtee,12000000.0
30,Jérémy Doku,65000000.0
31,Jack Grealish,60000000.0
32,Micah Hamilton,2000000.0
33,Oscar Bobb,25000000.0
34,Erling Haaland,180000000.0
35,Julián Alvarez,90000000.0
36,David Raya,35000000.0
37,Aaron Ramsdale,25000000.0
38,Matt Turner,7000000.0
39,Karl Hein,2000000.0
40,Arthur Okonkwo,1800000.0
41,William Saliba,80000000.0
42,Gabriel Magalhães,70000000.0
43,Jakub Kiwior,30000000.0
44,Rob Holding,5000000.0
45,Ayden Heaven,300000.0
46,Oleksandr Zinchenko,38000000.0
47,Kieran Tierney,12000000.0
48,Lino Sousa,2000000.0
49,Myles Lewis-Skelly,2000000.0
50,Ben White,55000000.0
51,Jurriën Timber,38000000.0
52,Takehiro Tomiyasu,35000000.0
53,Reuell Walters,4000000.0
54,Cédric Soares,2000000.0
55,James Sweet,250000.0
56,Thomas Partey,18000000.0
57,Jorginho,12000000.0
58,Mohamed Elneny,3500000.0
59,Bradley Ibrahim,400000.0
60,Declan Rice,120000000.0
61,Albert Sambi Lokonga,15000000.0
62,Mauro Bandeira,200000.0
63,Martin Ødegaard,110000000.0
64,Emile Smith Rowe,22000000.0
65,Fábio Vieira,22000000.0
66,Ethan Nwaneri,8000000.0
67,Gabriel Martinelli,70000000.0
68,Leandro Trossard,35000000.0
69,Reiss Nelson,15000000.0
70,Charles Sagoe Jr,600000.0
71,Bukayo Saka,140000000.0
72,Amario Cozier-Duberry,2000000.0
73,Kai Havertz,70000000.0
74,Gabriel Jesus,65000000.0
75,Eddie Nketiah,30000000.0
76,Robert Sánchez,20000000.0
77,Djordje Petrovic,20000000.0
78,Marcus Bettinelli,1000000.0
79,Lucas Bergström,700000.0
80,Teddy Sharman-Lowe,300000.0
81,Eddie Beach,250000.0
82,Levi Colwill,50000000.0
83,Axel Disasi,40000000.0
84,Benoît Badiashile,30000000.0
85,Wesley Fofana,25000000.0
86,Trevoh Chalobah,13000000.0
87,Bashir Humphreys,4800000.0
88,Malang Sarr,4000000.0
89,Thiago Silva,1000000.0
90,Josh Brooking,500000.0
91,Harrison Murray-Campbell,250000.0
92,Ian Maatsen,40000000.0
93,Ben Chilwell,28000000.0
94,Marc Cucurella,25000000.0
95,Ishé Samuels-Smith,500000.0
96,Zak Sturge,250000.0
97,Dylan Williams,200000.0
98,Reece James,40000000.0
99,Malo Gusto,35000000.0
100,Alfie Gilchrist,5000000.0
101,Josh Acheampong,300000.0
102,Moisés Caicedo,75000000.0
103,Roméo Lavia,35000000.0
104,Lesley Ugochukwu,25000000.0
105,Enzo Fernández,75000000.0
106,Conor Gallagher,50000000.0
107,Andrey Santos,15000000.0
108,Carney Chukwuemeka,15000000.0
109,Cesare Casadei,10000000.0
110,Alex Matos,1200000.0
111,Michael Golding,300000.0
112,Jimi Tauriainen,200000.0
113,Diego Moreira,3000000.0
114,Leo Castledine,900000.0
115,Mykhaylo Mudryk,35000000.0
116,Raheem Sterling,35000000.0
117,Noni Madueke,28000000.0
118,Christopher Nkunku,65000000.0
119,Nicolas Jackson,35000000.0
120,Armando Broja,22000000.0
121,David Datro Fofana,12000000.0
122,Deivid Washington,9000000.0
123,Mason Burstow,1800000.0
124,Ronnie Stutter,200000.0
125,Alisson,28000000.0
126,Caoimhín Kelleher,20000000.0
